"UID","PID","LEGTYPE","CHAMBER","CHAMBERANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","SEATSTCODE","SEATSTAT","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
21768,211738,"FL","H",397,"CA","California","01","","",14,57.399999999999999,"2012","2014","G","H2CA02142",0,0,90,0,96,0,55,0,"AOK","Normal",416,850,"R","Doug","LaMalfa","","Doug","Rep.","","US Representative","","M","Doug LaMalfa","","Oroville, CA","1960","07","02","Married","Jill","Richvale, CA","4 children ","CHC","Christian Church",5,"White/Caucasian","Senate Minority Whip, CA State Senate","2012","Member, CA State Senate","2010-2012","BUS","Owner-Partner","AGR","Rice Farmer","California Polytechnic State University","B.S.","1982","Butte College (CA)","A.A.","1980","","","","","","","","","","Rep. Doug LaMalfa","US Representative","Room 506","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-0501","","http://lamalfa.house.gov/contact/email-me","http://lamalfa.house.gov/","","http://www.facebook.com/pages/Doug-LaMalfa-for-US-Representative/163202650462603","http://twitter.com/RepLaMalfa","http://www.youtube.com/RepLaMalfa","Images\Photos\FL\H","LaMalfa_Doug_211738.jpg"
21800,158747,"FL","H",49,"CA","California","34","","",5,85.599999999999994,"1992","2014","G","H2CA30143",0,0,100,0,96,0,42,0,"AOK","Normal",449,883,"D","Xavier","Becerra","","Xavier","Rep.","","US Representative","","M","Xavier Becerra","beh-SEH-rah","Sacramento, CA","1958","01","26","Married","Dr. Carolina Reyes","Los Angeles, CA","3 children","ROC","Roman Catholic",2,"Hispanic/Latino","House Democratic Caucus Vice Chairman, U.S. House of Representatives","2013","Ranking Minority Member, U.S. House Subcommittee on Social Security","2013","LAW","Staff Attorney","PUB","Administrative Assistant","Universidad de Salamanca (Spain)","","1979","Stanford University Law School (CA)","J.D.","1984","Stanford University (CA)","B.A.","1980","","","","","","","Rep. Xavier Becerra","US Representative","Room 1226","LHOB- Longworth House Office Building","15 Independence Avenue, SE","","Washington, DC 20515-0534","","http://forms.house.gov/becerra/webforms/issue_subscribe.html","http://becerra.house.gov","","http://www.facebook.com/XavierBecerra","http://twitter.com/repbecerra","http://www.youtube.com/user/XavierBecerra","Images\Photos\FL\H","Becerra_Xavier_158747.jpg"
21836,378855,"FL","H",430,"FL","Florida","03","","",17,64.700000000000003,"2012","2014","G","H2FL06109",0,0,90,0,100,0,60,0,"AOK","Normal",969,1412,"R","Theodore","Yoho","S.","Ted","Rep.","","US Representative","","M","Theodore Scott Yoho","","Minneapolis, MN","1955","04","13","Married","Carolyn","Gainesville, FL","3 children ","ROC","Roman Catholic",5,"White/Caucasian","","","","","BUS","Veterinarian","","","University of Florida Veterinary College","D.V.M.","1983","University of Florida","B.S.","1979","Broward Community College (FL)","A.A.","1976","","","","","","","Rep. Theodore Yoho","US Representative","Room 511","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-0903","","https://yoho.house.gov/contact/email-me","http://yoho.house.gov/","","http://www.facebook.com/CongressmanTedYoho","http://twitter.com/RepTedYoho","http://www.youtube.com/user/RepTedYoho","Images\Photos\FL\H","Yoho_Theodore_378855.jpg"
21877,158827,"FL","H",119,"ID","Idaho","02","","",1,65.099999999999994,"1998","2014","G","H8ID02064",0,0,20,0,29,0,84,0,"AOK","Normal",1448,1931,"R","Mike","Simpson","","Mike","Rep.","","US Representative","Dr.","M","Michael K. Simpson","SIMP-suhn","Burley, ID","1950","09","08","Married","Kathy Johnson","Idaho Falls, ID","","MOR","Mormon",5,"White/Caucasian","Chairman, U.S. House Subcommittee on Interior, Environment, and Related Agencies","2013","Speaker, ID State House","1991-1999","MED","Dentist","","","Utah State University","B.S.","2002","Washington University School of Dental Medicine (MO)","D.D.S.","1977","Utah State University","Att.","1972","","","","","","","Rep. Mike Simpson","US Representative","Room 2312","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-1202","","http://simpson.house.gov/Contact/","http://simpson.house.gov","","http://www.facebook.com/pages/Mike-Simpson/96007744606","http://twitter.com/CongMikeSimpson","http://www.youtube.com/user/CongMikeSimpson","Images\Photos\FL\H","Simpson_Mike_158827.jpg"
21912,158862,"FL","H",85,"KY","Kentucky","01","","",2,69.599999999999994,"1994","2014","G","H4KY01040",0,0,25,0,26,0,90,0,"AOK","Normal",2198,2726,"R","Edward","Whitfield","","Ed","Rep.","","US Representative","","M","Wayne Edward Whitfield","WHIT-feeld","Hopkinsville, KY","1943","05","25","Married","Constance Harriman","Hopkinsville, KY","1 child","MET","Methodist",5,"White/Caucasian","Chairman, U.S. House Subcommittee on Energy and Power","2013","Legal Counsel to Edward J. Philbin, Chair, Interstate Commerce Commission","1991-1993","BUS","Vice President","LAW","Attorney","University of Kentucky","J.D.","1969","American University Wesley Theological Seminary (DC)","Att.","1966","University of Kentucky","B.S.","1965","U.S. Army Reserve","1LT","1967-1973","","","","Rep. Edward Whitfield","US Representative","Room 2184","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-1701","","http://whitfield.house.gov/contact-ed/email-ed","http://whitfield.house.gov","","http://www.facebook.com/RepEdWhitfield","http://twitter.com/repedwhitfield","http://www.youtube.com/user/WhitfieldKY01","Images\Photos\FL\H","Whitfield_Edward_158862.jpg"
21946,288017,"FL","H",308,"MI","Michigan","02","","",8,61.200000000000003,"2010","2014","G","H0MI02094",0,0,5,0,17,0,68,0,"AOK","Normal",3012,3626,"R","Bill","Huizenga","P.","Bill","Rep.","","US Representative","","M","William P. Huizenga","HY-zeng-uh","Zeeland, MI","1969","01","31","Married","Natalie","Zeeland, MI","5 children","CRC","Christian Reformed Church",5,"White/Caucasian","Assistant Majority Floor Leader, MI State House","2003-2008","Member, MI State House","2003-2009","EDU","Administrator","BUS","Co-owner","Calvin College (MI)","B.A.","1992","Holland Christian High School (MI)","","1992","","","","","","","","","","Rep. Bill Huizenga","US Representative","Room 1217","LHOB- Longworth House Office Building","15 Independence Avenue, SE","","Washington, DC 20515-2202","","http://huizenga.house.gov/contact/","http://huizenga.house.gov/","","http://www.facebook.com/republicanconference","http://twitter.com/RepHuizenga","http://www.youtube.com/HouseConference","Images\Photos\FL\H","Huizenga_Bill_288017.jpg"
21987,158937,"FL","H",37,"NC","North Carolina","04","","",1,74.5,"1996","2014","G","H6NC04037",0,0,95,0,100,0,55,0,"AOK","Normal",4648,5474,"D","David","Price","E.","David","Rep.","","US Representative","","M","David Eugene Price","Price","Erwin, TN","1940","08","17","Married","Lisa Kanwit","Chapel Hill, NC","2 children ;  2 grandchildren ","BAP","Baptist",5,"White/Caucasian","Ranking Minority Member, U.S. House Subcommittee on Homeland Security","2013","Chair, Nominating Calendar Commission, Democratic National Committee","2008","EDU","Professor of Political Science and Public Policy","PUB","Legislative Aide","Yale University (CT)","Ph.D.","1969","Yale University (CT)","B.D.","1964","University of North Carolina","B.A.","1961","","","","","","","Rep. David Price","US Representative","Room 2162","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-3304","","http://forms.house.gov/price/webforms/contact_form.shtml","http://price.house.gov","","","http://twitter.com/RepDavidEPrice","http://www.youtube.com/user/repdavidprice","Images\Photos\FL\H","Price_David_158937.jpg"
22022,207705,"FL","H",131,"NY","New York","03","","",12,57.799999999999997,"2000","2014","G","H0NY02085",0,0,30,0,57,0,90,0,"AOK","Normal",4407,5230,"D","Steve","Israel","J.","Steve","Rep.","","US Representative","","M","Steven Jay Israel","IZ-ree-ull","Brooklyn, NY","1958","05","30","Married","Marlene Budd","Huntington, NY","2 children","JEW","Jewish",5,"White/Caucasian","Member (NY02 R), U.S. House of Representatives","1992-2013","Member, Democratic Leadership Council","1992-2013","BUS","Owner and Operator","PUB","Assistant","George Washington University (DC)","B.A.","1982","Syracuse University (NY)","Att.","1979","Nassau Community College (NY)","A.A.","1978","","","","","","","Rep. Steve Israel","US Representative","Room 2457","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-3203","","http://forms.house.gov/israel/webforms/webforms/zip_auth.shtm","http://israel.house.gov","","http://www.facebook.com/RepSteveIsrael","http://twitter.com/repsteveisrael","http://www.youtube.com/repsteveisrael","Images\Photos\FL\H","Israel_Steve_207705.jpg"
22035,158986,"FL","H",29,"NY","New York","16","","",3,75.900000000000006,"1988","2014","G","H8NY19058",0,0,95,0,91,0,55,0,"AOK","Normal",4420,5243,"D","Eliot","Engel","L.","Eliot","Rep.","","US Representative","","M","Eliot Lanze Engel","ENG-gull","Bronx, NY","1947","02","18","Married","Patricia Ennis","Bronx, NY","3 children","JEW","Jewish",5,"White/Caucasian","Ranking Minority Member, U.S. House Subcommittee on The Western Hemisphere","2013","Member (NY17 D), U.S. House of Representatives","1988-2013","EDU","Teacher and Counselor","EDU","Department Chairman","New York University Law School","J.D.","1987","City University of New York - Herbert H. Lehman College","M.S.","1973","Hunter-Lehman College (NY)","B.A.","1969","","","","","","","Rep. Eliot Engel","US Representative","Room 2161","RHOB- Rayburn House Office Building","50 Independence Avenue, SW","","Washington, DC 20515-3216","","http://engel.house.gov/write-your-rep1/","http://engel.house.gov","","http://www.facebook.com/RepEliotLEngel","http://twitter.com/RepEliotEngel","http://www.youtube.com/user/Engel2161","Images\Photos\FL\H","Engel_Eliot_158986.jpg"
22076,249764,"FL","H",349,"OR","Oregon","01","","",4,59.600000000000001,"2012","2014","G","H2OR01133",0,0,0,0,0,0,0,0,"AOK","Normal",5228,6061,"D","Suzanne","Bonamici","","Suzanne","Rep.","","US Representative","","F","Suzanne Bonamici","","Detroit, MI","1954","10","14","Married","Michael Simon","Beaverton, OR","2 children","","",5,"White/Caucasian","Assistant Majority Leader, U.S. House of Representatives","2011","Chair, OR State Senate Committee on Redistricting","2011","PUB","Legislative Assistant","LAW","Attorney","University of Oregon Law School","J.D.","1983","University of Oregon, School of Journalism","B.A.","1980","Lane Community College (OR)","A.A.","1978","","","","","","","Rep. Suzanne Bonamici","US Representative","Room 439","CHOB- Cannon House Office Building","25 Independence Avenue, SE","","Washington, DC 20515-3701","","http://bonamici.house.gov/contact-me/email-me","http://bonamici.house.gov/","","http://www.facebook.com/CongresswomanBonamici","http://twitter.com/RepBonamici","http://www.youtube.com/user/RepSuzanneBonamici/","Images\Photos\FL\H","Bonamici_Suzanne_249764.jpg"
