"UID","PID","LEGTYPE","CHAMBER","CHAMBERANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","SEATSTCODE","SEATSTAT","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
22370,296391,"SL","S",23,"WY","Wyoming","017","","",21,55.100000000000001,"2010","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",7092,823,"R","Leland","Christensen","G.","Leland","Sen.","","Wyoming Senator","","M","Leland G. Christensen","","","1959","04","30","Married","Anita","Jackson, WY","5 children; 3 grandchildren","MOR","Mormon",5,"White/Caucasian","Commissioner, Teton County","1966","Member, Governor's Commission on Judicial Conduct and Ethics","1966","BUS","Auctioneer","LEN","Deputy Sheriff (Retired)","","","","","","","","","","Army National Guard","","1966","US Army 19th Group Special Forces","","1966","Sen. Leland Christensen","Wyoming Senator","","State Capitol","200 West 24th Street","","Cheyenne, WY 82002","Leland.Christensen@wyoleg.gov","","http://legisweb.state.wy.us/LegislatorSummary/LegDetail.aspx?LegID=1967","","http://www.facebook.com/pages/Christensen-for-State-Senate/133297533354433","","","Images\Photos\SL\WY\S","Christensen_Leland_296391.jpg"
22505,270006,"SL","S",23,"WA","Washington","040","","",14,62.899999999999999,"2008","2016","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6788,470,"D","Kevin","Ranker","","Kevin","Sen.","","Washington Senator","","M","Kevin Ranker","","Orcas Island, WA","","","","Married","Tina","San Juan Island, WA","1 child","","",5,"White/Caucasian","Senate Majority Assistant Whip, WA State Senate","2013","Chairman, WA State Senate Committee on Energy, Natural Resources, and Marine Waters","2013","","","","","","","","","","","","","","","","","","","","Sen. Kevin Ranker","Washington Senator","","John A. Cherberg Building","PO Box 40440","","Olympia, WA 98504-0440","kevin.ranker@leg.wa.gov","https://dlr.leg.wa.gov/memberemail/mailform.aspx?chamber=s&district=40","http://www.leg.wa.gov/senate/senators/Pages/ranker.aspx","","http://www.facebook.com/pages/Kevin-Ranker/12170186133","","","Images\Photos\SL\WA\S","Ranker_Kevin_270006.jpg"
22616,199902,"SL","S",23,"WI","Wisconsin","001","","",12,60,"2010","2014","G","",0,0,0,0,0,0,0,0,"AOK","Running for other office",6982,711,"R","Frank","Lasee","G.","Frank","Sen.","","Wisconsin Senator","","M","Frank G. Lasee","","Oceanside, CA","1961","12","11","Married","Amy Joy","Bellevue, WI","6 children","CHC","Christian Church",5,"White/Caucasian","Candidate, US Senate Wisconsin (WIS01)","2012-2012","Candidate, WI State Assembly District 02 (WI002)","2008","BUS","Senior Manager","REL","Sales","University of Wisconsin, Green Bay","B.A.","1986","","","","","","","","","","","","","Sen. Frank Lasee","Wisconsin Senator","","State Capitol","PO Box 7882","","Madison, WI 53707-7882","Sen.Lasee@legis.wisconsin.gov","","http://legis.wisconsin.gov/Pages/leg-info.aspx?d=1&h=S","","http://www.facebook.com/franklasee","","","Images\Photos\SL\WI\S","Lasee_Frank_199902.jpg"
22706,310248,"SL","H",57,"WI","Wisconsin","052","","",38,60.700000000000003,"2010","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6934,663,"R","Jeremy","Thiesfeldt","J.","Jeremy","Rep.","","Wisconsin Representative","","M","Jeremy John Thiesfeldt","","Fond du Lac, WI","1966","11","22","Married","Cinidy","Fond du Lac, WI","4 children ","LUT","Lutheran",5,"White/Caucasian","Vice Chair, WI State Assembly Committee on Urban and Local Affairs","2013","Member, Fond du Lac City Council","2005-2010","PUB","Full Time Legislator","EDU","Former Teacher, Coaching Softball, Basketball and Soccer","Martin Luther College (MN)","B.S.","1989","Kettle Moraine Lutheran High School","","1985","","","","","","","","","","Rep. Jeremy Thiesfeldt","Wisconsin Representative","","State Capitol","PO Box 8953","","Madison, WI 53708-8953","Rep.Thiesfeldt@legis.wisconsin.gov","","http://legis.wisconsin.gov/Pages/leg-info.aspx?d=52&h=A","","http://www.facebook.com/profile.php?id=100000537762131","http://twitter.com/Thiesfeldt","","Images\Photos\SL\WI\H","Thiesfeldt_Jeremy_310248.jpg"
22814,293107,"SL","H",95,"WV","West Virginia","024","A","",50,52.600000000000001,"2012","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6824,525,"D","Theodore","Tomblin","J.","Ted","Del.","","West Virginia Delegate","","M","Theodore Jay Tomblin","","","","","","Married","Lee","Logan, WV","3 children ","","",5,"White/Caucasian","Member (WV024-A D), WV House of Delegates","2012-Current","Candidate (WV019 D), WV House of Delegates","2010","","","","","","","","","","","","","","","","","","","","Del. Theodore Tomblin","West Virginia Representative","Room 200E-C","State Capitol - Building 1","1900 Kanawha Boulevard East","","Charleston, WV 25305","ted.tomblin@wvhouse.gov","","http://www.legis.state.wv.us/House/lawmaker.cfm?member=Delegate%20Tomblin","","","","","Images\Photos\SL\WV\H","Tomblin_Theodore_293107.jpg"
22919,260391,"SL","S",26,"VA","Virginia","028","","",12,95.299999999999997,"2007","2015","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6678,7623,"R","Richard","Stuart","H.","Richard","Sen.","","Virginia Senator","","M","Richard H. Stuart","","Fredericksburg, VA","1964","01","06","Married","Lisa","Montross, VA","3 children","EPI","Episcopalian",5,"White/Caucasian","Attorney, Westmoreland County School Board","2006-Current","","","LAW","Attorney","PUB","Part-Time Assistant Commonwealth Attorney","University of Richmond T.C. William's Law School","J.D.","2006-Current","Emanuel College, Cambridge University (England)","","2006-Current","Virginia Wesleyan College","B.A.","2006-Current","U.S. Marine Corps Reserve","","1984-1992","","","","Sen. Richard Stuart","Virginia Senator","","General Assembly Building","PO Box 396","","Richmond, VA 23218","district28@senate.virginia.gov","","http://apps.lis.virginia.gov/sfb1/Senate/senatorwebprofile.aspx?id=260","","","","","Images\Photos\SL\VA\S","Stuart_Richard_260391.jpg"
23010,199501,"SL","H",19,"VA","Virginia","079","","",6,94,"1997","2013","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6629,7574,"D","Johnny","Joannou","S.","Johnny","Del.","","Virginia Delegate","","M","Johnny Savas Joannou","","Brooklyn, NY","1940","04","22","Married","Chris Paul Kolantis","Portsmouth, VA","1 child","GRO","Greek Orthodox",5,"White/Caucasian","Member, VA State Senate","1984-1991","Member, VA House of Delegates","1976-1984","LAW","Attorney","LAW","Trial Attorney","University of Richmond T.C. Williams Law School (VA)","LL.B.","1969","Virginia Polytechnic Institute and State University","B.S.","1962","Woodrow Wilson High School","","1958","","","","","","","Del. Johnny Joannou","Virginia Representative","","General Assembly Building","PO Box 406","","Richmond, VA 23218","DelJJoannou@house.virginia.gov","","http://dela.state.va.us/dela/MemBios.nsf/a7b082ef6ed01eac85256c0d00515644/0474788c273fc31285257535005773f5?OpenDocument","","http://www.facebook.com/people/John-Joannou/1371226357","","","Images\Photos\SL\VA\H","Joannou_Johnny_199501.jpg"
23201,408758,"SL","H",56,"SD","South Dakota","026A","","",15,100,"2012","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",5912,6778,"D","Troy","Heinert","","Troy","Rep.","","South Dakota Representative","","M","Troy Heinert","","Spearfish, SD","1973","","","Married","Gena","Mission, SD","3 children ","","",5,"White/Caucasian","","","","","BUS","Owner","EDU","Former Elementary School Teacher","","","","","","","","","","","","","","","","Rep. Troy Heinert","South Dakota Representative","","State Capitol","500 East Capitol Avenue","","Pierre, SD 57501-5070","rep.heinert@state.sd.us","http://legis.state.sd.us/email/LegislatorEmail.aspx?MemberID=213","http://legis.state.sd.us/sessions/2013/MemberDetail.aspx?Member=213","","","","","Images\Photos\SL\SD\H","Heinert_Troy_408758.jpg"
23277,290521,"SL","H",61,"TN","Tennessee","023","","",39,75.900000000000006,"2010","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",5988,6866,"R","John","Forgety","W.","John","Rep.","","Tennessee Representative","","M","John W. Forgety","","Knoxville, TN","1946","03","28","Married","Faye Collins","Athens, TN","2 children; 4 grandchildren","BAP","Baptist",5,"White/Caucasian","Member, Etowah Regional Planning Committee","2013","Former Member, McMinn County Economic Development Authority","2013","AGR","Farmer","BUS","Licensed Apprentice Auctioneer and Real Estate Broker","","","","","","","","","","TN Army National Guard","1stSgt","1986-2006","US Marine Corps","","1986-2006","Rep. John Forgety","Tennessee Representative","Room 109","War Memorial Building","301 Sixth Avenue North","","Nashville, TN 37243","rep.john.forgety@capitol.tn.gov","","http://www.capitol.tn.gov/house/members/h23.html","","","","","Images\Photos\SL\TN\H","Forgety_John_290521.jpg"
23362,248640,"SL","S",27,"TX","Texas","009","","",16,58.299999999999997,"2012","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6288,7168,"R","Kelly","Hancock","G.","Kelly","Sen.","","Texas Senator","","M","Kelly G. Hancock","","North Richland Hills, TX","1963","12","02","Married","Robin Harrison","North Richland Hills, TX","3 children","","",5,"White/Caucasian","Member (TX091 R), TX State House of Representatives","2006-2012","Member, Birdville ISD School Board","2006-2012","BUS","Co-Owner","BUS","Co-Owner","Baylor University (TX)","B.B.A.","2006-2012","","","","","","","","","","","","","Sen. Kelly Hancock","Texas Senator","","Capitol Station","PO Box 12068","","Austin, TX 78711-2068","kelly.hancock@senate.state.tx.us","http://www.senate.state.tx.us/75r/senate/members/dist9/dist9.htm#form","http://www.senate.state.tx.us/75r/senate/members/dist9/dist9.htm","","http://www.facebook.com/TexansForKellyHancock","http://twitter.com/KHancock4TX","","Images\Photos\SL\TX\S","Hancock_Kelly_248640.jpg"
23459,269759,"SL","H",131,"TX","Texas","078","","",49,53.799999999999997,"2012","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6207,7087,"D","Joseph","Moody","E.","Joe","Rep.","","Texas Representative","","M","Joseph E. Moody","","El Paso, TX","1981","01","09","Married","Adrianne Riley","El Paso, TX","","CAT","Catholic",2,"Hispanic/Latino","Candidate (TX078), TX State House of Representatives","2010","Member (TX078 D), TX State House of Representatives","2008-2010","LEN","Assistant District Attorney","","","Texas Tech University School of Law, Lubbock","J.D.","2006","New Mexico State University","B.A.","2003","Cathedral High School","","1999","","","","","","","Rep. Joseph Moody","Texas Representative","","Capitol Extension","PO Box 2910","","Austin, TX 78768-2910","joe.moody@house.state.tx.us","http://www.house.state.tx.us/members/member-page/email/?district=78&session=83","http://www.house.state.tx.us/members/member-page/?district=78","","http://www.facebook.com/moodyforelpaso","http://twitter.com/moodyforelpaso","","Images\Photos\SL\TX\H","Moody_Joseph_269759.jpg"
